ID,Name,Country,Smoker,Fitness
111137499,Kathe Lew,Nepal,No,78
111171279,Vicente Sallese,Montenegro,Yes,88
111417332,Bok Gulati,Vietnam,No,97
111466169,Shanae Easton,Montenegro,No,90
111632627,Elisha Berke,Georgia,No,57
111673531,Lorean Mcgill,Mongolia,No,57
111796709,Corine Gulati,Brazil,No,20
111816083,Gaye Clinton,Kosovo,Yes,58
112034128,Leopoldo Nychka,New Zealand,No,86
112334556,Concetta Farrow,Vietnam,No,28
112384208,Annetta Walz,Colombia,No,76
112509860,Kimi Spinrad,Italy,Yes,78
112678418,Rodrick Hardy,Jordan,Yes,40
112839417,Bok Lovie,Georgia,Yes,1
112923285,Gregorio Schoofs,China,Yes,26
112980648,Lorraine Farrow,Montenegro,Yes,86
113225380,Ross Mcgill,Chile,Yes,53
113465036,Tina Csuja,India,Yes,35
113669830,Samira Housley,France,No,100
113948911,Emogene Pruette,Georgia,Yes,85
114036353,Ariana Levenstein,Bolivia,No,85
114345213,Twana Mckeon,Nepal,Yes,11
114771810,Hipolito Rheem,Cambodia,Yes,36
114807064,Ofelia Lanham,Bolivia,Yes,20
114984507,Edwin Diliddo,Iran,No,58
115013011,Elida Arnold,Colombia,Yes,59
115042436,Bryce Barraclough,Kosovo,No,99
115369147,Leigh Baum,Vietnam,No,64
115533335,Masako Tauber,France,No,54
115662087,Ezra Hainski,Israel,Yes,17
115971270,Granville Lanham,China,No,64
116069158,Tina Heraclitus,Colombia,No,1
116183456,Genoveva Mathew,Canada,No,84
116540276,Christa Nychka,China,Yes,85
116585719,Eldridge Greenlaw,Italy,No,38
116608406,Twana Tassinari,France,Yes,99
116642481,Christa Luscia,Turkey,No,43
116796023,Shelley Star,Switzerland,No,65
116869928,Francesco Brackett,Georgia,Yes,14
117111522,Clorinda Gutterson,Argentina,Yes,43
117365502,Zachary Spellman,Cambodia,No,91
117433554,Jeannette Yankee,Vietnam,No,95
117438162,Bridgett Widing,Brazil,Yes,76
117458419,Deana Bayles,China,No,63
117618607,Leigh Star,Turkey,No,96
117677788,Gregorio Collette,New Zealand,No,47
117685922,Bok Moses,Spain,No,34
117784747,Alva Otun,Georgia,No,47
117813089,January Yankee,Turkey,No,36
118119573,Ellie Widing,Iran,Yes,63
118371488,Erna Mittag,Chile,Yes,47
118800409,Mellie Sommer,Spain,Yes,100
